repo_age,logger/lloc
1134.32,0.0079
775.42,0.0105
728.83,0.0066
3983.96,0.0034
1781.70,0.0089
1478.20,0.0029
2021.07,0.0315
2862.34,0.0000
4413.59,0.0094
2066.37,0.0883
210.85,0.0164
1298.11,0.0149
4229.68,0.0052
2652.59,0.0000
1240.21,0.0343
1517.46,0.0021
3304.37,0.0037
917.43,0.0028
729.09,0.0023
487.38,0.0003
778.38,0.0044
1120.53,0.0124
960.29,0.0051
2157.92,0.0000
1102.02,0.0398
1028.49,0.0419
701.14,0.0222
1243.29,0.0159
386.78,0.0037
2518.90,0.0000
799.94,0.0015
4223.91,0.0001
1398.23,0.0601
1190.41,0.0227
794.84,0.0093
456.07,0.0415
1025.16,0.0077
2496.78,0.0127
1934.10,0.0118
1000.06,0.0211
1362.11,0.0239
2160.36,0.0174
956.75,0.0074
326.01,0.0070
937.90,0.0056
3132.04,0.0263
3876.43,0.0112
1893.74,0.0369
2301.02,0.0224
389.47,0.0131
1943.69,0.0150
719.47,0.0165
2718.43,0.0069
1728.99,0.0287
1332.43,0.0289
720.04,0.0100
1170.14,0.0033
2185.36,0.0463
2442.63,0.0455
2707.02,0.0119
2809.90,0.0079
1355.15,0.0038
671.04,0.0013
1609.76,0.0003
2621.60,0.0015
1732.54,0.0083
4529.44,0.0058
3328.78,0.0029
2676.26,0.0014
1438.10,0.0182
1302.54,0.0000
768.03,0.0017
3000.52,0.0007
763.68,0.0077
1816.93,0.0527
2192.17,0.0498
2849.86,0.0068
2332.41,0.0093
1795.50,0.0058
2697.58,0.0008
380.12,0.0008
812.79,0.0422
1578.26,0.0010
3615.36,0.0074
1056.93,0.0000
24.85,0.0087
2360.19,0.0026
1598.23,0.0201
1402.73,0.0497
1171.71,0.0198
1483.74,0.0051
1646.76,0.0522
3179.91,0.0476
1279.97,0.0345
885.27,0.0149
3279.98,0.0020
2078.66,0.0281
2326.76,0.0121
1678.25,0.0114
1990.98,0.0094
3833.86,0.0154
1943.10,0.0225
769.11,0.0183
2259.98,0.0829
338.94,0.0169
489.96,0.0053
1640.28,0.0087
2519.44,0.0335
2101.78,0.0212
2181.99,0.0493
2978.72,0.0011
1997.30,0.0105
3914.20,0.0082
1358.72,0.0049
1230.53,0.0441
640.48,0.0036
922.40,0.0180
559.44,0.0064
1205.78,0.0109
1651.19,0.0032
771.01,0.0092
604.52,0.0004
396.71,0.0447
1853.87,0.0546
2022.39,0.0035
